DATE,ECOMPCTNSA
1999-10-01,0.7
2000-01-01,0.8
2000-04-01,0.8
2000-07-01,0.9
2000-10-01,1.2
2001-01-01,1.1
2001-04-01,1.0
2001-07-01,1.0
2001-10-01,1.3
2002-01-01,1.3
2002-04-01,1.3
2002-07-01,1.4
2002-10-01,1.7
2003-01-01,1.7
2003-04-01,1.6
2003-07-01,1.7
2003-10-01,2.1
2004-01-01,2.0
2004-04-01,1.9
2004-07-01,2.0
2004-10-01,2.4
2005-01-01,2.4
2005-04-01,2.3
2005-07-01,2.4
2005-10-01,2.9
2006-01-01,2.8
2006-04-01,2.6
2006-07-01,2.8
2006-10-01,3.5
2007-01-01,3.3
2007-04-01,3.1
2007-07-01,3.2
2007-10-01,4.0
2008-01-01,3.6
2008-04-01,3.3
2008-07-01,3.3
2008-10-01,4.1
2009-01-01,3.9
2009-04-01,3.6
2009-07-01,3.8
2009-10-01,4.7
2010-01-01,4.2
2010-04-01,4.0
2010-07-01,4.2
2010-10-01,5.3
2011-01-01,4.7
2011-04-01,4.4
2011-07-01,4.5
2011-10-01,5.9
2012-01-01,5.1
2012-04-01,4.9
2012-07-01,5.1
2012-10-01,6.5
2013-01-01,5.6
2013-04-01,5.3
2013-07-01,5.4
2013-10-01,7.0
2014-01-01,6.2
2014-04-01,5.8
2014-07-01,6.0
2014-10-01,7.6
2015-01-01,6.8
2015-04-01,6.5
2015-07-01,6.7
2015-10-01,8.5
2016-01-01,7.5
2016-04-01,7.3
2016-07-01,7.5
2016-10-01,9.3
2017-01-01,8.3
2017-04-01,8.1
2017-07-01,8.3
2017-10-01,10.3
2018-01-01,9.2
2018-04-01,9.0
2018-07-01,9.2
2018-10-01,11.1
2019-01-01,10.0
2019-04-01,9.7
2019-07-01,10.2
2019-10-01,12.3
2020-01-01,11.7
2020-04-01,15.5
2020-07-01,14.3
2020-10-01,16.6
2021-01-01,14.8
2021-04-01,13.9
2021-07-01,13.8
2021-10-01,15.9
2022-01-01,14.3
2022-04-01,13.9
